title;description;company;job-type;application-url;expiry-date
Research Scientist Position Systems Biology-Gene Therapy (m/w/d);At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.Research Scientist Position Systems Biology-Gene Therapy (m/f/d)YOUR TASKS AND RESPONSIBILITIESDesign and optimize in vitro and in vivo transgenes for gene therapy programs for efficacy, reduced off targets and immunogenicity (including promoters, miRNA, CDS, RNAi, CRISPR)Design, plan and accordingly conduct experiments to develop gene therapy-based therapeuticsContribute to delivering gene therapy clinical candidatesDevelop recombinant AAV therapeutics regardless of the therapeutic area by collaborating with the subject matter experts in Research, Translational, Clinical, and Regulatory organizationsContribute to technical discussions and investigations within the cross-disciplinary gene therapy project teamsPresent regular updates in internal meetings respecting timelinesWHO YOU ARE PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in engineering DNA/RNA (CRISPR, ZNF, miRNA, etc) editing tools for gene therapy or cell engineering applicationsExperience with recombinant AAV vectors and/or equivalent viral vector platforms is a plusKnowledge in molecular mechanisms of transcriptional regulation as well as a track record in molecular/synthetic biology preferably applied to gene therapyExperience with cellular molecular imaging, FACS sorting and other cell biology assaysExperience with working in S2 coditions as well as openness to work with rodents when/if neededProgramming and bioinformatics skills and hands-on experience with high-throughput data analysis: NGS and/or other omics data, is a plusAbility to simultaneously support multiple projects and work in a fast-paced environmentFluent in English, both written and spoken;Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=qD7Ls8zGDBcAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free...;"The Doctoral Network SYNSENSO ""Cell-free synthetic biology for combinatorial biosensor design"", funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors.

Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The PhD students will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors. The specific research projects at the different groups are listed below. In addition to the host institutes (see below), the consortium also includes associated academic and industrial partners (Imperial College London (UK), Nuclera Nucleics Ltd. (UK), BioMerieux SA (France), LenioBio GmbH (Germany), BRAIN Biotech AG (Germany), Advance Biotech (Spain)), which are available for secondments and collaborations.

Aufgaben
Doctoral Projects:

DC1 - Cell-free RNA-based logic circuits, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC2 - Machine-learning based design and optimization of analyte-responsive ribozymes,

Host: Prof. Beatrix Suess, Technische Universität Darmstadt, Germany

DC3 - CRISPR-based RNA editing tools for cell-free biosensors, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC4 -Modeling and simulation of cell-free synthetic circuits, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC5 - Enhanced cell-free lysates with pre-expressed regulators, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC6 - Cell-free responsive elements and biosensors for DNA repair enzymes, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC7 - RNA-binding proteins for circuit design and detection of viral infection, Host: Dr. Velia Siciliano, Istituto Italiano di Technologia, Naples, Italy

DC8 - DNA/RNA responsive elements for cell-free biosensors, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC9 - Cell-free synthesis of RNA aptamers on a biochip, Host: Dr. Ralf Strasser, Dynamic Biosensors GmbH, Munich, Germany (PhD awarded from TU Darmstadt)

DC10 - Cell-free responsive elements for antibodies and proteins detection, Host: Dr. Bruna Marini, Ulisse Biomed GmbH, Udine, Italy (PhD awarded from Tor Vergata Universita degli Studi di Roma)

DC11 - Intein-based logic gates for multiplexed designs, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme)

DC12 - Developing phosphorylation cascades in cell-free circuits, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme)

Qualifikationsprofil
Candidate profile:
• MSc, MRes, MEng, or equivalent in Life Science (Biology, Biochemistry, Biophysics, etc), Bioengineering, Physics or a related discipline
• Wet-lab experience, in particular with genetic engineering or molecular biology
• Interested to work in the field of synthetic biology
• Appreciation for interdisciplinary work and proactive drive to collaborate across disciplines
• proficient in English language

Wir bieten
Enrolment, eligibility, salary:
• Applicants must have obtained their masters degree and must not have a doctoral degree at the date of their recruitment
• Applicants should not have been living in the country of the host institution for which they are applying for more than 12 months in the last 3 years (exception: refugee status). Applicants can be of any nationality.
• Subject to the successful signing of the EU Grant Agreement, SYNSENSO is planned to start with 01.09.2022 and the start of the individual doctoral project should be between 01.09.2022 and 31.03.2023 (for projects in Italy the project start will be until 01.11.2022)
• The successful candidate will receive a financial package including mobility and family allowance (if applicable), and will be employed according to the rules for Early Stage Researchers in an Marie Skłodowska-Curie Actions Doctoral Network (DN) and the general regulations of each host institution.
• The MSCA-DN will cover 3 years of full-time research. Final contract length and extension options depend on the host institution";Technische Universität Darmstadt;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=XKYkIk_5kqYAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Research Scientist Position Systems Biology-Gene Therapy (m/f/d);"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.
Research Scientist Position Systems Biology-Gene Therapy (m/f/d)

YOUR TASKS AND RESPONSIBILITIES
• Design and optimize in vitro and in vivo transgenes for gene therapy programs for efficacy, reduced off targets and immunogenicity (including promoters, miRNA, CDS, RNAi, CRISPR)
• Design, plan and accordingly conduct experiments to develop gene therapy-based therapeutics
• Contribute to delivering gene therapy clinical candidates
• Develop recombinant AAV therapeutics regardless of the therapeutic area by collaborating with the subject matter experts in Research, Translational, Clinical, and Regulatory organizations
• Contribute to technical discussions and investigations within the cross-disciplinary gene therapy project teams
• Present regular updates in internal meetings respecting timelines

WHO YOU ARE
• PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in engineering DNA/RNA (CRISPR, ZNF, miRNA, etc) editing tools for gene therapy or cell engineering applications
• Experience with recombinant AAV vectors and/or equivalent viral vector platforms is a plus
• Knowledge in molecular mechanisms of transcriptional regulation as well as a track record in molecular/synthetic biology preferably applied to gene therapy
• Experience with cellular molecular imaging, FACS sorting and other cell biology assays
• Experience with working in S2 coditions as well as openness to work with rodents when/if needed
• Programming and bioinformatics skills and hands-on experience with high-throughput data analysis: NGS and/or other omics data, is a plus
• Ability to simultaneously support multiple projects and work in a fast-paced environment
• Fluent in English, both written and spoken";Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=l3YYRWQepO4AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Post Doc;"We are looking for an enthusiastic individual with passion for microbial molecular biotechnology and synthetic biology who is eager to bring research into application.The location for the position is Frankfurt/M. and is limited for 2 years.ResponsibilitiesWork independently as a fully integrated member of a cross-functional, interdisciplinary, and international teamLead planning, design, execution of molecular biological experiments, strain engineering and process developmentDevelopment, evaluation, and implementation of new methods or application and optimization of existing state-of-the-art process-relevant methods and molecular biological techniquesEngineering and optimizing E. coli strains for plasmid DNA and heterologous protein productionData analysis and data interpretation, presentation and reporting of results to international and interdisciplinary audienceFollow, review, and share the latest project-related innovations and technology breakthroughs in academia and industryContribute to collaborations with academic institutionsRequirementsScientific SkillsPh.D. with experience in molecular biology, microbiology, biochemistry, and microbial expression systems with track record within the field of recombinant DNA expression technology, synthetic biology and ideally strain engineering with focus on E. coliExperienced in DNA sequence design, experience with cloning software (SnapGene, Vector NTI, ApE, etc.) and modern molecular cloning techniques (Golden Gate, Gibson assembly, etc.)Experience with E. coli or cell free expression systems requiredHands on experience and expertise on molecular cloning analytical characterization of biomolecules and microbial strains requiredExperienced with microbial synthetic biology concepts and tools, metabolic engineering and/or genome engineering/CRISPRKnowledge of bacterial cell wall or membrane biology is a plusExperience with analysis of large data sets (like NGS) and programming skills (ideally Python, R) is a plusSoft Skills/CompetenciesPassionate about biotechnology and synthetic biologyAble to drive a scientific project from idea to application, ""Can Do”-AttitudeDemonstrated ability/willingness to quickly learn and perform in new areas, implement new techniques and instrumentationAbility to plan and execute experiments independently, organized, rigorous and adaptativeElaborate, structured and accurate way of workingInnovative mindset and entrepreneurial spiritStrong team player with analytical skills and interest to work in a highly interdisciplinary areaFluent in English, preferably good German skillsOur offer:An international work environment, in which you can develop your talent and realize ideas and innovations within a competent team.An attractive, market-oriented salary aligned with your qualifications and including social benefits above average (e.g., company pension plans, health management).An individual and well-structured introduction and training of new employees.As a globally successful and constantly growing company, Sanofi provides international career paths as well.#LI-GSA";Sanofi;PostDoc;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=hk5lBT2pq8QAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Biologist - Systems Biology-Gene Therapy (m/f/d);"At Bayer we're visionaries, driven to solve the world's toughest challenges and striving for a world where ,Health for all, Hunger for none' is no longer a dream, but a real possibility. We're doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining 'impossible'. There are so many reasons to join us. If you're hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there's only one choice.
Research Scientist Position Systems Biology-Gene Therapy (m/f/d)

Design and optimize in vitro and in vivo transgenes for gene therapy programs for efficacy, reduced off targets and immunogenicity (including promoters, miRNA, CDS, RNAi, CRISPR)
Design, plan and accordingly conduct experiments to develop gene therapy-based therapeutics
Contribute to delivering gene therapy clinical candidates
Develop recombinant AAV therapeutics regardless of the therapeutic area by collaborating with the subject matter experts in Research, Translational, Clinical, and Regulatory organizations
Contribute to technical discussions and investigations within the cross-disciplinary gene therapy project teams
Present regular updates in internal meetings respecting timelines

PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in engineering DNA/RNA (CRISPR, ZNF, miRNA, etc) editing tools for gene therapy or cell engineering applications
Experience with recombinant AAV vectors and/or equivalent viral vector platforms is a plus
Knowledge in molecular mechanisms of transcriptional regulation as well as a track record in molecular/synthetic biology preferably applied to gene therapy
Experience with cellular molecular imaging, FACS sorting and other cell biology assays
Experience with working in S2 coditions as well as openness to work with rodents when/if needed
Programming and bioinformatics skills and hands-on experience with high-throughput data analysis: NGS and/or other omics data, is a plus
Ability to simultaneously support multiple projects and work in a fast-paced environment
Fluent in English, both written and spoken";Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=ZZUEV7eT-WcAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free...;"12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free synthetic biology for combinatorial biosensor design The Doctoral Network SYNSENSO “Cell-free synthetic biology for combinatorial biosensor design”, funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors. Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The PhD students will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors. The specific research projects at the different groups are listed below. In addition to the host institutes (see below), the consortium also includes associated academic and industrial partners (Imperial College London (UK), Nuclera Nucleics Ltd. (UK), BioMerieux SA (France), LenioBio GmbH (Germany), BRAIN Biotech AG (Germany), Advance Biotech (Spain)), which are available for secondments and collaborations. Candidate profile: MSc, MRes, MEng, or equivalent in Life Science (Biology, Biochemistry, Biophysics, etc), Bioengineering, Physics or a related discipline Wet-lab experience, in particular with genetic engineering or molecular biology – Interested to work in the field of synthetic biology Appreciation for interdisciplinary work and proactive drive to collaborate across disciplines proficient in English language
Enrolment, eligibility, salary: Applicants must have obtained their masters degree and must not have a doctoral degree at the date of their recruitment - Applicants should not have been living in the country of the host institution for which they are applying for more than 12 months in the last 3 years (exception: refugee status). Applicants can be of any nationality. Subject to the successful signing of the EU Grant Agreement, SYNSENSO is planned to start with 01.09.2022 and the start of the individual doctoral project should be between 01.09.2022 and 31.03.2023. The successful candidate will receive a financial package including mobility and family allowance (if applicable), and will be employed according to the rules for Early Stage Researchers in an Marie Skłodowska-Curie Actions Doctoral Network (DN) and the general regulations of each host institution. The MSCA-DN will cover 3 years of full-time research. Final contract length and extension options depend on the host institution.
Application: Applications should include a motivation letter, CV, copy of transcripts and of obtained degree and contact details of 2 references. Applicants should provide a ranked list of projects they are most interested to work on. – Please send your application via email: synsenso@bcs.tu-darmstadt.de

Application deadline: 21.07.2022. Doctoral Projects: DC1 – Cell-free RNA-based logic circuits, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany DC2 – Machine-learning based design and optimization of analyte-responsive ribozymes, Host: Prof. Beatrix Suess, Technische Universität Darmstadt, Germany DC3 – CRISPR-based RNA editing tools for cell-free biosensors, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands DC4 -Modeling and simulation of cell-free synthetic circuits, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands DC5 – Enhanced cell-free lysates with pre-expressed regulators, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany DC6 – Cell-free responsive elements and biosensors for DNA repair enzymes, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy DC7 – RNA-binding proteins for circuit design and detection of viral infection, Host: Dr. Velia Siciliano, Istituto Italiano di Technologia, Naples, Italy DC8 – DNA/RNA responsive elements for cell-free biosensors, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy DC9 – Cell-free synthesis of RNA aptamers on a biochip, Host: Dr. Ralf Strasser, Dynamic Biosensors GmbH, Munich, Germany (PhD awarded from TU Darmstadt) DC10 – Cell-free responsive elements for antibodies and proteins detection, Host: Dr. Bruna Marini, Ulisse Biomed GmbH, Udine, Italy (PhD awarded from Tor Vergata Universita degli Studi di Roma) DC11 – Intein-based logic gates for multiplexed designs, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme) DC12 – Developing phosphorylation cascades in cell-free circuits, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme";Technische Universitaet Darmstadt;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=hauhro8YTU8AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Biological Technical Assistant (BTA);"What we do

Cambrium’s mission is to trigger the next wave of material innovation. We are leveraging the power of biotechnology to design and develop cutting-edge materials for a greener tomorrow. We enable new biomaterials in cosmetics, fashion and plastics by harnessing nature's building blocks. We have built a platform based on an automated laboratory, machine learning and synthetic biology to design and develop novel protein materials with enhanced chemical and physical properties.

We are an equal-opportunity employer and value diversity. We consider all applications equally regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, or gender identity. We strongly encourage individuals from groups traditionally underrepresented in tech to apply, and we can help with immigration.

Your role

As a Biological Technical Assistant (BTA) who will be responsible for assisting our R&D team to create new sustainable biomaterials in the lab and prepare them to be scaled. As BTA, you will be responsible for helping implementing lab's protocols, run routine lab work and enabling our highly automated lab to run safely and smoothly. You will interface with both the R&D and Engineering Team to support the development an integrated material learning pipeline™.

What you can expect to do:
• You will conduct molecular biology and genetic engineering experiments
• You will run existing, but also prepare new standard operating procedures (SOPs) in electronic format
• You will improve experiment accuracy, and propose, develop and implement methods to standardise lab work
• You will consolidate and present your results to support the lab weekly experimental planning
• You will participate in maintaining a safe and organised lab space

Your profile

__

Your skills:
• Biological Technical Assistant (BTA) training or Bachelors in Biology, Biochemistry, Molecular Biology or related field
• 1-3 years working experience following your studies - industrial or start up experience is a plus
• Basic knowledge of genome editing techniques and knockout methodologies (recombineering, Crispr-Cas)

You’ll be a great if you:
• Are a communicator, and you thrive working in an interdisciplinary team
• Are an excellent planner and know how to set priorities in your lab work
• Have a natural excitement for biotech
• Are a hands-on person and like to build things
• Have previous experience in lab automation techniques

What we offer

In addition to a competitive salary and equity package, you can expect the following:
• Employee Stock Options
• Flexible working hours
• Learning & Development Program for all our team members
• Berlin BVG public transportation card zone A/B
• Regular team events and impassioned team discussions
• Free drinks, fruit, and snacks
• Be part of our journey to a future of sustainable materials";Cambrium;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=pT10Q7nyaWkAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Faculty of Biology;"with 65% of the fulltime weekly hours starting as soon as possible. The position is limited for 36 months, with the option for extension. The period of employment is governed by the Fixed Term Research Contracts Act (Wissenschaftszeitvertragsgesetz-WissZeitVG). The position offers the chance to obtain further academic qualification (e.g. PhD). Tasks: Coccolithophores, a group of calcifying unicellular eukaryotic algae, are one of the dominant phytoplankton groups of the world's oceans and important players in the carbon cycle due to photosynthetic carbon fixation and the formation of aesthetically shaped CaCO 3 -based cell wall scales called coccoliths. Despite the global impact of coccolithophores, we know little about their physiology at the molecular level. This project will incorporate a combination of genome and transcriptome sequencing and comparative genomics and transcriptomics to identify genes involved in calcification and coccolithogenesis and to guide molecular genetic and synthetic biology approaches for engineering coccolithogenesis. We will interact closely with other laboratories that are specialized in bioinformatics analyses. In this way, the project is poised to make an important contribution to deciphering one of the most important aspects of coccolithophore biology. Requirements: The successful applicant should have a recent university degree in a Plant-Biologyrelated discipline, and will have skills in Bioinformatics. The position will require both experimental and computational abilities for the generation and analysis of NextGen sequencing datasets. Skills in R and/or Python and experience with molecular biology methods are preferred, but not required.
At the Institute of Genetics, the Chair of Microalgal Cell and Molecular Biology (Heisenberg) offers a position as";TU Dresden;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=wG5uRfKDwvMAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free...;"The Doctoral Network SYNSENSO ""Cell-free synthetic biology for combinatorial biosensor design"", funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors.

Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The PhD students will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors. The specific research projects at the different groups are listed below. In addition to the host institutes (see below), the consortium also includes associated academic and industrial partners (Imperial College London (UK), Nuclera Nucleics Ltd. (UK), BioMerieux SA (France), LenioBio GmbH (Germany), BRAIN Biotech AG (Germany), Advance Biotech (Spain)), which are available for secondments and collaborations. Doctoral Projects:

DC1 - Cell-free RNA-based logic circuits, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC2 - Machine-learning based design and optimization of analyte-responsive ribozymes,

Host: Prof. Beatrix Suess, Technische Universität Darmstadt, Germany

DC3 - CRISPR-based RNA editing tools for cell-free biosensors, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC4 -Modeling and simulation of cell-free synthetic circuits, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC5 - Enhanced cell-free lysates with pre-expressed regulators, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC6 - Cell-free responsive elements and biosensors for DNA repair enzymes, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC7 - RNA-binding proteins for circuit design and detection of viral infection, Host: Dr. Velia Siciliano, Istituto Italiano di Technologia, Naples, Italy

DC8 - DNA/RNA responsive elements for cell-free biosensors, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC9 - Cell-free synthesis of RNA aptamers on a biochip, Host: Dr. Ralf Strasser, Dynamic Biosensors GmbH, Munich, Germany (PhD awarded from TU Darmstadt)

DC10 - Cell-free responsive elements for antibodies and proteins detection, Host: Dr. Bruna Marini, Ulisse Biomed GmbH, Udine, Italy (PhD awarded from Tor Vergata Universita degli Studi di Roma)

DC11 - Intein-based logic gates for multiplexed designs, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme)

DC12 - Developing phosphorylation cascades in cell-free circuits, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme) Candidate profile:

MSc, MRes, MEng, or equivalent in Life Science (Biology, Biochemistry, Biophysics, etc), Bioengineering, Physics or a related discipline

Wet-lab experience, in particular with genetic engineering or molecular biology

Interested to work in the field of synthetic biology

Appreciation for interdisciplinary work and proactive drive to collaborate across disciplines

proficient in English language

Enrolment, eligibility, salary:

Applicants must have obtained their masters degree and must not have a doctoral degree at the date of their recruitment

Applicants should not have been living in the country of the host institution for which they are applying for more than 12 months in the last 3 years (exception: refugee status). Applicants can be of any nationality.

Subject to the successful signing of the EU Grant Agreement, SYNSENSO is planned to start with 01.09.2022 and the start of the individual doctoral project should be between 01.09.2022 and 31.03.2023 (for projects in Italy the project start will be until 01.11.2022)

The successful candidate will receive a financial package including mobility and family allowance (if applicable), and will be employed according to the rules for Early Stage Researchers in an Marie Skłodowska-Curie Actions Doctoral Network (DN) and the general regulations of each host institution.

The MSCA-DN will cover 3 years of full-time research. Final contract length and extension options depend on the host institution";TU Darmstadt;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=vlhjIMB5ApYAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
Commercial Co-Founder (m,f,x) @ SynBio Startup;"ABOUT FOODLABS

FoodLabs (FL) is a venture capital investor and venture studio based in Berlin focusing on Food-, Agtech, and Sustainability. We’ve previously backed leading food tech startups such as Gorillas, Microharvest, Infarm, Meatable, Mushlabs, or Formo.

In our Founder Studio, we are consistently identifying new opportunities to change the food landscape in Europe together with the most daring entrepreneurs and scientists. We are currently looking for a Co-Founder (m/f/x) to build a biotech and foodtech startup with us. We are open to various business models and topics within the scope of synthetic biology / biotech.

YOUR ROLE

We are calling out for purpose-driven founders to join our mission to build the next generation of food companies that positively impact the planet and people. As an Entrepreneur in Residence with FoodLabs, you will explore and validate the opportunity to build a venture, and leverage your experience - supported by our dedicated team. Moving forward with incorporating your venture, FoodLabs will provide pre-seed funding for your company.

YOUR RESPONSIBILITIES & CHALLENGES

As an Entrepreneur in Residence, you have the opportunity to build your own venture based on your scientific expertise, with VC backing and a strong operational support network. As part of the founding team, you will be having a significant impact in building the business and team from scratch.

WHY JOIN
• The opportunity to build your own biotech venture and change the future of food and nutrition
• Our dedicated studio team will provide you with financial, operational, and strategic support, and everything you need to know to validate your business model and build your own venture
• Growth strategy
• Go-to-market
• Operational excellence
• Fundraising
• People & Talent
• Marketing & PR
• Monthly financial support to cover basic living costs
• Free office space in our amazing office in Berlin in Mitte (incl. rooftop terrace)
• Mentoring and advisory from our network of scientific & tech founders
• Access to our FoodLabs and Atlantic Labs network with over 150+ portfolio companies.
• Collaboration with a team of talented and motivated individuals looking to change the world
• A high-growth, ambitious startup environment with an exponential learning curve

WHAT YOU NEED TO SUCCEED
• An entrepreneurial mindset and exceptional problem-solving skills
• Strong hands-on attitude and willingness to take on various tasks inside and outside your field of expertise
• Substantial experience in a high-performance environment (e.g., Startup, Management Consulting, Investment Banking)
• You have first experience in managing and scaling a high-performing team and are a strong leader with outstanding people management skills
• A passion for food, health, nutrition, and sustainability
• Academic background in the fields of Biotechnology, Bioengineering, Biochemistry, Molecular Biology, Food Science, Computational and Systems Biology, or related disciplines are of advantage
• You are fluent in English (C1) in oral and written communication, fluency in German is of advantage";FoodLabs & Atlantic Labs;StartUp;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=G8SQ1WPtDOQAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-07-07
